Range (km),Battery Level (%),Latitude (°),Longitude (°),Speed (km/h),Maintenance Cost ($),Charging Cost ($),Pin Code,Working Condition,Charging Status,Energy Consumed (kWh),Fast Charge Speed (kW),Date,dvr,Make,mgr,Acceleration 0 - 100 km/h,Top Speed,ER,Total Power,Total Torque,Drive,BC,Length,Width,Height,Wheelbase,Gross Vehicle Weight (GVWR),Max. Payload,Cargo Volume,Seats,km
47.81,19,26.861179,70.065424,79,208,40,783273,1,1,7.1715,101,2023-11-22,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,32032.0
47.81,19,26.861179,70.065424,140,208,40,783273,1,1,7.1715,101,2023-11-22,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,32388.0
341.31,76,21.788913,77.104373,79,284,28,361358,1,0,51.1965,53,2023-07-14,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,144928.0
341.31,76,21.788913,77.104373,140,284,28,361358,1,0,51.1965,53,2023-07-14,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,149375.0
344.81,76,10.063333,75.83477099999998,79,198,12,667542,1,0,51.7215,135,2023-06-29,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,155022.0
344.81,76,10.063333,75.83477099999998,140,198,12,667542,1,0,51.7215,135,2023-06-29,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,151874.0
118.03,34,20.492932,70.853735,79,70,19,373817,1,1,17.7045,127,2023-10-18,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,61335.0
118.03,34,20.492932,70.853735,140,70,19,373817,1,1,17.7045,127,2023-10-18,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,59862.0
199.44,48,27.985443,94.087131,79,134,14,564979,1,1,29.916,76,2023-02-20,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,96776.0
199.44,48,27.985443,94.087131,140,134,14,564979,1,1,29.916,76,2023-02-20,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,95559.0
287.0,67,25.10133,92.122461,79,185,7,775637,0,0,43.05,101,2023-05-23,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,131881.0
287.0,67,25.10133,92.122461,140,185,7,775637,0,0,43.05,101,2023-05-23,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,133122.0
373.38,83,30.222593,96.873471,79,286,11,293170,1,0,56.007,60,2023-04-15,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,161888.0
373.38,83,30.222593,96.873471,140,286,11,293170,1,0,56.007,60,2023-04-15,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,166499.0
260.99,60,27.73428,96.405518,79,226,6,793354,0,1,39.1485,95,2023-08-26,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,122770.0
260.99,60,27.73428,96.405518,140,226,6,793354,0,1,39.1485,95,2023-08-26,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,117186.0
291.92,69,29.031431,75.512331,79,73,23,790358,1,1,43.788,53,2023-02-24,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,130178.0
291.92,69,29.031431,75.512331,140,73,23,790358,1,1,43.788,53,2023-02-24,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,129620.0
448.33,99,21.875589,94.547536,79,228,37,473767,1,1,67.2495,82,2023-11-30,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,196484.0
448.33,99,21.875589,94.547536,140,228,37,473767,1,1,67.2495,82,2023-11-30,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,188016.0
409.31,91,36.612281,76.451363,79,265,24,891428,1,1,61.3965,74,2023-01-19,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,172960.0
409.31,91,36.612281,76.451363,140,265,24,891428,1,1,61.3965,74,2023-01-19,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,175438.0
362.32,82,19.894236,95.075538,79,273,7,150259,1,1,54.348,80,2023-08-25,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,159765.0
362.32,82,19.894236,95.075538,140,273,7,150259,1,1,54.348,80,2023-08-25,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,161462.0
127.78,35,26.158591,96.48083,79,98,23,135027,1,0,19.167,100,2023-07-22,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,64913.0
127.78,35,26.158591,96.48083,140,98,23,135027,1,0,19.167,100,2023-07-22,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,63826.0
139.76,37,22.073782,72.47523100000002,79,261,40,390616,1,0,20.964,122,2023-04-14,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,69142.0
139.76,37,22.073782,72.47523100000002,140,261,40,390616,1,0,20.964,122,2023-04-14,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,73108.0
425.64,94,31.446517,87.56875500000002,79,151,36,259598,1,0,63.846,99,2023-01-04,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,186111.0
425.64,94,31.446517,87.56875500000002,140,151,36,259598,1,0,63.846,99,2023-01-04,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,184119.0
